"ST","PWGTP","AGEP","CIT","COW","SCHL","SEX","WAGP","ESR","FOD1P","INDP","NAICSP","POWSP"
6,83,28,1,"Private profit","Bachelor's Degree","Female",22000,"Employed","MATH",4970,"4451",6
6,45,47,1,"Private profit","Bachelor's Degree","Male",0,"Not in labor force","FINANCE",7580,"5613",NA
6,90,24,1,"Private profit","Bachelor's Degree","Female",10000,"Employed","FINANCE",6870,"52M1",6
6,101,42,4,"Private profit","Bachelor's Degree","Female",32000,"Employed","MATH",6890,"522M",6
6,88,43,4,"Federal government","Bachelor's Degree","Female",70000,"Employed","FINANCE",9390,"92119",6
6,40,35,5,"Self-employed","Bachelor's Degree","Female",0,"Employed","MATH",770,"23",6
6,185,43,4,"Private profit","Master's Degree","Male",24000,"Employed","FINANCE",8090,"6214",6
6,74,39,4,"Private profit","Bachelor's Degree","Female",55000,"Employed","FINANCE",6870,"52M1",6
6,64,68,1,"Local government","Master's Degree","Male",85000,"Employed","FINANCE",9370,"9211MP",6
6,213,44,5,"Private profit","Doctorate degree","Male",185000,"Employed","COMPUTER SCIENCE",7470,"5418",6
6,59,58,1,"Private profit","Bachelor's Degree","Male",421000,"Employed","FINANCE",7780,"561M",6
6,32,33,4,"Private profit","Bachelor's Degree","Female",0,"Unemployed","FINANCE",6870,"52M1",NA
6,44,48,1,"Self-employed","Bachelor's Degree","Male",58000,"Employed","COMPUTER SCIENCE",1990,"3231",6
6,62,50,1,"Private profit","Bachelor's Degree","Male",110000,"Employed","FINANCE",6990,"524",6
6,92,48,1,"Private profit","Bachelor's Degree","Male",140000,"Employed","COMPUTER SCIENCE",6870,"52M1",6
6,133,26,4,"Private profit","Bachelor's Degree","Male",40000,"Employed","STATISTICS",8090,"6214",6
6,63,40,5,"Private profit","Bachelor's Degree","Male",120000,"Employed","MATH",7680,"5616",6
6,53,37,4,"Private non-profit","Bachelor's Degree","Male",40000,"Employed","FINANCE",9160,"8131",6
6,56,72,1,"Self-employed","Master's Degree","Male",5400,"Employed","MATH",5690,"45439",6
6,52,53,1,"Private profit","Master's Degree","Male",192000,"Employed","MATH",7290,"5413",6
6,46,32,1,"State government","Master's Degree","Male",26000,"Employed/Not at work","MATH",7870,"611M1",NA
6,81,40,1,"Private non-profit","Bachelor's Degree","Male",21000,"Employed","COMPUTER SCIENCE",7860,"6111",6
6,370,43,1,"Private profit","Bachelor's Degree","Female",95000,"Employed","FINANCE",4180,"4235",6
6,60,48,4,"Local government","Bachelor's Degree","Female",55000,"Employed","MATH",7860,"6111",6
6,110,50,1,"Private profit","Bachelor's Degree","Male",35000,"Employed","COMPUTER SCIENCE",7970,"6211",6
6,111,31,1,"Private profit","Master's Degree","Male",40000,"Employed","MATH",7870,"611M1",6
6,87,50,1,"Private profit","Bachelor's Degree","Male",140000,"Employed","FINANCE",4670,"4411",6
6,71,48,1,"State government","Master's Degree","Female",125000,"Employed","STATISTICS",9470,"92MP",6
6,84,49,1,"Private profit","Bachelor's Degree","Male",220000,"Employed","FINANCE",4380,"424M",6
6,69,50,4,"Private non-profit","Bachelor's Degree","Female",22500,"Employed/Not at work","COMPUTER SCIENCE",3590,"33641M2",NA
6,58,37,1,"Self-employed","Doctorate degree","Female",0,"Employed","MATH",7890,"611M3",6
6,134,45,1,"Private profit","Master's Degree","Female",220000,"Employed","MATH",3590,"33641M2",6
6,63,66,1,"Private profit","Master's Degree","Male",6000,"Not in labor force","FINANCE",7280,"5412",NA
6,69,27,1,"Private profit","Bachelor's Degree","Male",89000,"Not in labor force","FINANCE",3960,"3391",NA
6,91,33,5,"Federal government","Master's Degree","Male",58000,"Employed","COMPUTER SCIENCE",9590,"928P",6
6,99,35,5,"Private non-profit","Professional degree","Male",110000,"Employed","COMPUTER SCIENCE",3365,"3341",6
6,81,50,5,"Private profit","Bachelor's Degree","Female",13500,"Employed","COMPUTER SCIENCE",8590,"713Z",6
6,54,45,1,"Private profit","Bachelor's Degree","Male",12500,"Employed","MATH",7380,"5415",6
6,63,32,1,"Private profit","Bachelor's Degree","Male",72000,"Employed","FINANCE",8590,"713Z",6
6,60,53,1,"Private profit","Bachelor's Degree","Male",240000,"Unemployed","COMPUTER SCIENCE",7380,"5415",NA
6,106,27,1,"Private profit","Bachelor's Degree","Male",91000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,85,24,1,"Private profit","Bachelor's Degree","Male",65000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,47,43,4,"Private profit","Master's Degree","Female",102000,"Employed","MATH",3370,"334M1",6
6,64,44,1,"Federal government","Master's Degree","Male",100000,"Employed","FINANCE",9590,"928P",6
6,77,66,1,"Private profit","Master's Degree","Male",63000,"Employed","MATH",1680,"3152",6
6,93,67,1,"Local government","Doctorate degree","Female",9000,"Employed","MATH",7860,"6111",6
6,72,41,3,"Private profit","Professional degree","Male",421000,"Employed","FINANCE",6870,"52M1",6
6,110,80,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
6,161,50,1,"Private profit","Bachelor's Degree","Male",125000,"Employed","COMPUTER SCIENCE",4170,"4234",6
6,60,30,1,"Private profit","Master's Degree","Male",120000,"Employed","COMPUTER SCIENCE",7290,"5413",6
6,162,23,5,"Private profit","Bachelor's Degree","Male",100000,"Employed","COMPUTER SCIENCE",6672,"51913",6
6,21,23,1,"Private profit","Bachelor's Degree","Male",40000,"Employed","COMPUTER SCIENCE",7290,"5413",6
6,29,37,4,"Private non-profit","Bachelor's Degree","Male",79000,"Employed","COMPUTER SCIENCE",9190,"8139Z",6
6,68,67,4,"Private profit","Bachelor's Degree","Male",15000,"Employed","FINANCE",3580,"33641M1",6
6,64,45,4,"Private profit","Master's Degree","Male",190000,"Employed","MATH",7380,"5415",6
6,69,44,4,"Private profit","Master's Degree","Female",421000,"Employed","MATH",7380,"5415",6
6,114,35,5,"Private profit","Bachelor's Degree","Male",45000,"Employed","COMPUTER SCIENCE",7670,"5615",6
6,70,45,4,"State government","Master's Degree","Female",60000,"Employed","STATISTICS",7870,"611M1",6
6,70,57,4,"Private profit","Bachelor's Degree","Male",65000,"Employed","FINANCE",4195,"4236",6
6,94,42,4,"Private profit","Bachelor's Degree","Female",200000,"Employed","COMPUTER SCIENCE",7270,"5411",6
6,62,44,1,"Self-employed","Master's Degree","Male",48000,"Employed","FINANCE",8560,"711",6
6,160,25,1,"Private profit","Bachelor's Degree","Female",36000,"Employed","FINANCE",770,"23",6
6,59,58,1,"Private profit","Bachelor's Degree","Male",0,"Not in labor force","COMPUTER SCIENCE",7290,"5413",NA
6,167,43,4,"State government","Bachelor's Degree","Female",60000,"Employed","FINANCE",9480,"923",6
6,88,49,1,"Self-employed","Master's Degree","Female",0,"Employed","MATH",7070,"531",6
6,57,38,1,"Private profit","Bachelor's Degree","Male",175000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,52,57,1,"Private non-profit","Bachelor's Degree","Male",35000,"Employed","MATH",8190,"622",6
6,38,46,5,"Private profit","Professional degree","Male",0,"Not in labor force","COMPUTER SCIENCE",3895,"337",NA
6,47,24,1,"Private profit","Bachelor's Degree","Male",11000,"Employed","MATH",7890,"611M3",6
6,105,51,4,"Private profit","Bachelor's Degree","Male",41000,"Employed","COMPUTER SCIENCE",5592,"454113",6
6,32,36,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","FINANCE",NA,"",NA
6,75,57,1,"Private profit","Bachelor's Degree","Male",120000,"Employed","MATH",3365,"3341",6
6,61,63,1,"Private profit","Master's Degree","Male",242000,"Employed","COMPUTER SCIENCE",6695,"5182",6
6,93,54,4,"Private profit","Master's Degree","Male",20000,"Employed","COMPUTER SCIENCE",5590,"454111",6
6,65,43,4,"Private profit","Bachelor's Degree","Male",45000,"Employed","COMPUTER SCIENCE",770,"23",6
6,55,57,4,NA,"Master's Degree","Male",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,76,27,1,"State government","Master's Degree","Male",25000,"Employed","COMPUTER SCIENCE",7870,"611M1",6
6,70,30,1,"Private profit","Bachelor's Degree","Male",98000,"Employed","STATISTICS",3960,"3391",6
6,94,42,1,"Self-employed","Professional degree","Female",3000,"Not in labor force","MATH",4795,"443142",NA
6,99,55,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,66,49,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","FINANCE",NA,"",NA
6,64,38,5,"Private profit","Master's Degree","Male",130000,"Employed","MATH",3390,"334M2",6
6,63,49,1,"Private profit","Bachelor's Degree","Male",50000,"Employed","STATISTICS",6970,"52M2",6
6,40,46,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,135,54,4,"Self-employed","Master's Degree","Male",0,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,88,35,1,"Private profit","Master's Degree","Male",155000,"Employed","FINANCE",7380,"5415",6
6,69,33,1,"Private profit","Bachelor's Degree","Male",421000,"Employed","MATH",6890,"522M",6
6,66,36,4,"Private profit","Bachelor's Degree","Male",170000,"Employed","COMPUTER SCIENCE",6672,"51913",6
6,58,34,4,"Private profit","Bachelor's Degree","Female",100000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,98,23,1,"Private profit","Bachelor's Degree","Female",35000,"Employed","FINANCE",7480,"54194",6
6,96,48,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,78,29,5,"Private profit","Bachelor's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",7380,"5415",NA
6,52,30,5,"Private profit","Doctorate degree","Female",9500,"Employed","STATISTICS",8170,"6216",6
6,125,40,4,"Private profit","Master's Degree","Male",150000,"Employed","COMPUTER SCIENCE",7390,"5416",6
6,55,64,1,"Private non-profit","Master's Degree","Female",0,"Not in labor force","MATH",7860,"6111",NA
6,146,30,1,"Private profit","Bachelor's Degree","Male",80000,"Employed","FINANCE",6190,"4853",6
6,80,73,1,NA,"Doctorate degree","Male",0,"Not in labor force","MATH",NA,"",NA
6,183,40,5,NA,"Master's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,114,47,1,"Private profit","Bachelor's Degree","Male",125000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,77,72,4,NA,"Bachelor's Degree","Female",0,"Not in labor force","FINANCE",NA,"",NA
6,71,42,4,"Private profit","Bachelor's Degree","Male",80000,"Employed","COMPUTER SCIENCE",3590,"33641M2",6
6,354,56,1,"Self-employed","Bachelor's Degree","Male",0,"Employed","FINANCE",6990,"524",6
6,40,40,5,"Local government","Bachelor's Degree","Male",98000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,72,67,1,"State government","Master's Degree","Male",0,"Not in labor force","MATH",7870,"611M1",NA
6,49,54,4,"Private profit","Bachelor's Degree","Female",50000,"Unemployed","COMPUTER SCIENCE",3390,"334M2",NA
6,132,40,1,"Private profit","Bachelor's Degree","Female",150000,"Employed","FINANCE",7280,"5412",6
6,115,55,1,"Self-employed","Bachelor's Degree","Male",4200,"Employed","STATISTICS",4770,"442",6
6,64,64,4,"Private profit","Bachelor's Degree","Female",26300,"Employed","FINANCE",5070,"44611",6
6,46,26,1,"Private profit","Master's Degree","Female",40000,"Employed","FINANCE",7070,"531",6
6,46,25,1,"Private non-profit","Professional degree","Female",10000,"Employed","COMPUTER SCIENCE",9170,"813M",6
6,118,34,5,"Private profit","Bachelor's Degree","Female",10000,"Unemployed","FINANCE",6890,"522M",NA
6,67,40,5,"Private profit","Master's Degree","Female",100000,"Employed","COMPUTER SCIENCE",3390,"334M2",6
6,66,37,5,"Private profit","Professional degree","Male",100000,"Employed","COMPUTER SCIENCE",6680,"5171",6
6,69,60,1,"Self-employed","Professional degree","Male",0,"Employed","MATH",7270,"5411",6
6,67,29,5,"Private profit","Doctorate degree","Male",125000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,66,29,4,"Private profit","Bachelor's Degree","Male",87000,"Employed","COMPUTER SCIENCE",7470,"5418",6
6,124,61,1,"Local government","Master's Degree","Male",100000,"Employed","MATH",7870,"611M1",6
6,70,36,4,"Private profit","Bachelor's Degree","Male",78000,"Employed","FINANCE",7070,"531",6
6,39,43,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,83,42,1,"Private profit","Bachelor's Degree","Male",0,"Not in labor force","MATH",3390,"334M2",NA
6,140,28,1,"Private profit","Bachelor's Degree","Male",60000,"Employed","COMPUTER SCIENCE",8590,"713Z",6
6,130,27,5,"Private profit","Master's Degree","Male",20000,"Employed","COMPUTER SCIENCE",5190,"4483",6
6,44,49,1,"Private profit","Bachelor's Degree","Male",220000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,61,42,5,"Private profit","Bachelor's Degree","Male",180000,"Employed","FINANCE",3980,"3399ZM",6
6,98,37,4,"Private profit","Master's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",7380,"5415",NA
6,105,36,5,"Self-employed","Master's Degree","Male",150,"Employed","COMPUTER SCIENCE",7390,"5416",6
6,129,31,1,"Federal government","Bachelor's Degree","Male",98000,"Employed","COMPUTER SCIENCE",7070,"531",6
6,59,41,4,"Private profit","Bachelor's Degree","Male",28000,"Unemployed","FINANCE",8680,"722Z",NA
6,64,39,1,"Private profit","Bachelor's Degree","Female",18000,"Employed","FINANCE",7070,"531",6
6,109,32,4,"Private profit","Master's Degree","Female",48000,"Employed/Not at work","COMPUTER SCIENCE",4795,"443142",NA
6,88,27,1,"Federal government","Bachelor's Degree","Male",65000,"Employed","COMPUTER SCIENCE",9690,"928110P3",6
6,55,57,1,"Self-employed","Bachelor's Degree","Male",0,"Employed","FINANCE",7070,"531",6
6,21,29,1,"Federal government","Bachelor's Degree","Male",120000,"Employed","MATH",9690,"928110P3",6
6,71,44,1,"Private profit","Bachelor's Degree","Male",130000,"Employed","STATISTICS",7390,"5416",6
6,74,53,4,"Self-employed","Bachelor's Degree","Female",18300,"Employed","FINANCE",9070,"8123",6
6,71,62,1,"Private profit","Bachelor's Degree","Male",100000,"Employed","FINANCE",7780,"561M",6
6,78,51,4,"Private profit","Master's Degree","Female",150000,"Employed","MATH",3390,"334M2",6
6,63,65,1,"Self-employed","Bachelor's Degree","Female",0,"Not in labor force","MATH",7390,"5416",NA
6,134,24,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,83,41,1,"Private profit","Master's Degree","Female",160000,"Employed","FINANCE",2290,"325M",6
6,209,45,5,"Private profit","Bachelor's Degree","Male",120000,"Employed/Not at work","COMPUTER SCIENCE",7380,"5415",NA
6,53,72,1,"Self-employed","Master's Degree","Male",0,"Not in labor force","MATH",8560,"711",NA
6,107,34,1,"Local government","Bachelor's Degree","Female",0,"Not in labor force","MATH",7860,"6111",NA
6,65,26,1,"Private non-profit","Master's Degree","Male",65000,"Employed","COMPUTER SCIENCE",7670,"5615",6
6,114,41,4,"Local government","Bachelor's Degree","Female",150000,"Employed","COMPUTER SCIENCE",6990,"524",6
6,80,43,5,"Private profit","Bachelor's Degree","Male",95000,"Employed","COMPUTER SCIENCE",1990,"3231",6
6,74,40,1,"Private profit","Bachelor's Degree","Male",3000,"Unemployed","MATH",6870,"52M1",NA
6,91,43,1,"Private profit","Professional degree","Male",421000,"Employed","MATH",6870,"52M1",6
6,44,37,3,"State government","Bachelor's Degree","Male",55000,"Employed","FINANCE",7870,"611M1",6
6,162,64,5,"Self-employed","Bachelor's Degree","Male",34000,"Employed","MATH",8970,"812111",6
6,66,38,4,"Private profit","Master's Degree","Male",130000,"Employed","COMPUTER SCIENCE",6490,"5112",6
6,3,54,1,NA,"Professional degree","Male",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,49,59,4,"Private profit","Master's Degree","Male",115000,"Employed","COMPUTER SCIENCE",7390,"5416",6
6,104,48,1,"Private profit","Master's Degree","Male",123000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,295,26,1,"Private profit","Bachelor's Degree","Male",37000,"Employed","FINANCE",6970,"52M2",6
6,57,25,5,"Private profit","Bachelor's Degree","Female",110000,"Not in labor force","COMPUTER SCIENCE",7380,"5415",NA
6,73,55,4,"State government","Bachelor's Degree","Female",78000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,62,28,1,"Private profit","Bachelor's Degree","Male",75000,"Employed","FINANCE",2190,"3254",6
6,67,57,4,"State government","Bachelor's Degree","Female",74000,"Employed","MATH",9570,"92M2",6
6,228,24,1,"Private profit","Bachelor's Degree","Male",1900,"Employed","STATISTICS",7890,"611M3",6
6,92,23,4,"State government","Bachelor's Degree","Male",51000,"Employed","MATH",7870,"611M1",6
6,38,23,1,"Private profit","Bachelor's Degree","Female",45000,"Employed","COMPUTER SCIENCE",7280,"5412",6
6,57,57,1,"Self-employed","Master's Degree","Male",89000,"Employed","FINANCE",6970,"52M2",6
6,84,35,4,"Private profit","Bachelor's Degree","Male",50000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,100,26,1,"Private profit","Bachelor's Degree","Male",24000,"Employed","COMPUTER SCIENCE",5275,"4511M",6
6,72,66,1,"Self-employed","Bachelor's Degree","Male",30000,"Employed","FINANCE",6990,"524",6
6,81,37,1,"Private profit","Bachelor's Degree","Male",60000,"Employed","MATH",6990,"524",6
6,103,40,1,"Private profit","Bachelor's Degree","Male",4400,"Unemployed","COMPUTER SCIENCE",7380,"5415",NA
6,52,50,4,"Private profit","Master's Degree","Female",60000,"Employed","COMPUTER SCIENCE",3990,"3MS",6
6,70,70,1,NA,"Master's Degree","Male",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,189,45,4,"Private profit","Bachelor's Degree","Female",110000,"Employed","FINANCE",7380,"5415",6
6,72,54,4,"Private non-profit","Doctorate degree","Male",152000,"Employed","COMPUTER SCIENCE",7870,"611M1",6
6,58,49,1,"Private non-profit","Doctorate degree","Female",100000,"Employed","FINANCE",8190,"622",6
6,41,59,1,"Private profit","Master's Degree","Male",10000,"Employed","COMPUTER SCIENCE",8660,"7211",6
6,37,54,1,"Private profit","Bachelor's Degree","Male",421000,"Employed","FINANCE",3365,"3341",6
6,172,27,1,"Private profit","Bachelor's Degree","Female",80000,"Employed","MATH",590,"221MP",6
6,36,31,1,"Private profit","Master's Degree","Male",138000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,139,51,1,"Private profit","Master's Degree","Female",1300,"Employed","COMPUTER SCIENCE",8190,"622",6
6,48,55,4,"Private profit","Bachelor's Degree","Male",50000,"Employed","STATISTICS",6180,"485M",6
6,62,36,5,"Private profit","Master's Degree","Female",120000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,77,64,4,NA,"Master's Degree","Male",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,66,69,1,"State government","Master's Degree","Female",3000,"Not in labor force","MATH",7860,"6111",NA
6,36,48,4,"Private profit","Master's Degree","Female",0,"Unemployed","MATH",4795,"443142",NA
6,45,23,4,"Unemployed","Bachelor's Degree","Male",0,"Unemployed","COMPUTER SCIENCE",9920,"9920",NA
6,265,31,5,"Private profit","Bachelor's Degree","Female",40000,"Not in labor force","STATISTICS",6870,"52M1",NA
6,57,35,4,"Private profit","Bachelor's Degree","Female",72000,"Employed","MATH",7380,"5415",6
6,117,64,5,"Private profit","Bachelor's Degree","Male",80000,"Employed","MATH",3590,"33641M2",6
6,67,51,5,"Federal government","Doctorate degree","Female",72000,"Employed","MATH",8180,"621M",6
6,75,32,5,"Private profit","Doctorate degree","Female",0,"Not in labor force","COMPUTER SCIENCE",6970,"52M2",NA
6,129,28,5,NA,"Master's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
6,245,45,1,"Self-employed","Bachelor's Degree","Female",11400,"Employed","FINANCE",770,"23",6
6,160,58,1,"Private profit","Master's Degree","Male",421000,"Employed","FINANCE",6870,"52M1",6
6,60,35,1,"Private profit","Bachelor's Degree","Male",85000,"Employed","COMPUTER SCIENCE",170,"111",6
6,49,68,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
6,117,32,1,"Private profit","Bachelor's Degree","Male",125000,"Employed","COMPUTER SCIENCE",3390,"334M2",6
6,102,57,1,"Private profit","Bachelor's Degree","Male",100000,"Employed","COMPUTER SCIENCE",6090,"483",6
6,73,57,1,"Local government","Master's Degree","Female",100000,"Employed","FINANCE",7860,"6111",6
6,70,43,1,"Private profit","Bachelor's Degree","Male",154000,"Employed","COMPUTER SCIENCE",2190,"3254",6
6,42,49,4,"Private profit","Master's Degree","Male",27000,"Employed","FINANCE",7280,"5412",6
6,81,22,1,"Private profit","Bachelor's Degree","Female",10000,"Employed","MATH",1070,"311M1",6
6,96,29,1,"Federal government","Bachelor's Degree","Male",52000,"Employed","STATISTICS",3680,"3366",6
6,92,25,1,"Private non-profit","Bachelor's Degree","Female",20000,"Employed","MATH",7460,"5417",6
6,54,60,4,"Local government","Master's Degree","Female",80000,"Employed","MATH",7860,"6111",6
6,70,43,1,"Private profit","Bachelor's Degree","Male",79000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,86,55,5,"Private profit","Bachelor's Degree","Female",84000,"Employed","STATISTICS",3390,"334M2",6
6,65,72,1,"Self-employed","Bachelor's Degree","Male",0,"Employed","FINANCE",4170,"4234",6
6,82,52,1,"Private profit","Bachelor's Degree","Male",0,"Unemployed","COMPUTER SCIENCE",4670,"4411",NA
6,61,29,5,"Private profit","Bachelor's Degree","Male",421000,"Employed","COMPUTER SCIENCE",6672,"51913",6
6,91,62,1,"Private profit","Professional degree","Female",0,"Not in labor force","COMPUTER SCIENCE",5180,"44821",NA
6,53,38,1,"Federal government","Master's Degree","Male",50000,"Employed","COMPUTER SCIENCE",9680,"928110P2",6
6,68,42,5,"Federal government","Bachelor's Degree","Female",10000,"Unemployed","STATISTICS",9470,"92MP",NA
6,100,69,1,"Private profit","Bachelor's Degree","Male",86000,"Employed","MATH",6680,"5171",6
6,134,45,1,"Private profit","Bachelor's Degree","Female",421000,"Employed","MATH",6890,"522M",6
6,44,43,4,"Private profit","Bachelor's Degree","Male",0,"Unemployed","COMPUTER SCIENCE",3190,"333MS",NA
6,105,24,4,"State government","Master's Degree","Male",10000,"Employed","COMPUTER SCIENCE",7860,"6111",6
6,77,29,5,"Private profit","Bachelor's Degree","Female",18000,"Employed","FINANCE",5590,"454111",6
6,67,36,1,"Private profit","Doctorate degree","Male",421000,"Employed","MATH",7380,"5415",6
6,59,50,1,"Local government","Bachelor's Degree","Female",85000,"Employed","COMPUTER SCIENCE",9370,"9211MP",6
6,81,65,1,"Private profit","Bachelor's Degree","Male",0,"Not in labor force","MATH",4470,"4244",NA
6,263,29,1,"Self-employed","Bachelor's Degree","Male",0,"Employed","COMPUTER SCIENCE",6890,"522M",6
6,37,55,1,"Private profit","Master's Degree","Male",421000,"Employed","FINANCE",7380,"5415",6
6,33,64,1,"Self-employed","Bachelor's Degree","Male",0,"Employed","MATH",7290,"5413",6
6,63,37,4,"Private profit","Doctorate degree","Male",160000,"Employed","COMPUTER SCIENCE",7290,"5413",6
6,77,41,5,"Private profit","Bachelor's Degree","Male",60000,"Employed","COMPUTER SCIENCE",6780,"5191ZM",6
6,70,50,5,"Unemployed","Bachelor's Degree","Female",0,"Unemployed","FINANCE",9920,"9920",NA
6,32,24,1,"Private profit","Master's Degree","Male",125000,"Employed","COMPUTER SCIENCE",6672,"51913",6
6,47,42,4,"Private profit","Master's Degree","Female",153000,"Employed","FINANCE",7390,"5416",6
6,60,79,3,"Self-employed","Master's Degree","Male",0,"Not in labor force","MATH",7380,"5415",NA
6,45,38,1,"Private profit","Bachelor's Degree","Male",141000,"Employed","COMPUTER SCIENCE",7280,"5412",6
6,151,57,4,"Self-employed","Bachelor's Degree","Male",60000,"Employed","STATISTICS",7290,"5413",6
6,64,68,4,"Private profit","Bachelor's Degree","Female",50000,"Employed","FINANCE",6870,"52M1",6
6,69,33,1,"Private profit","Master's Degree","Male",130000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,82,78,1,NA,"Professional degree","Male",0,"Not in labor force","MATH",NA,"",NA
6,132,26,5,"Private profit","Master's Degree","Female",30000,"Employed","COMPUTER SCIENCE",7970,"6211",6
6,93,35,1,"Private profit","Bachelor's Degree","Male",80000,"Employed","FINANCE",6672,"51913",6
6,94,46,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
6,77,44,1,"Self-employed","Bachelor's Degree","Male",421000,"Employed","FINANCE",7970,"6211",6
6,46,42,4,"Private profit","Doctorate degree","Male",200000,"Employed","COMPUTER SCIENCE",6690,"517Z",6
6,121,40,1,"Self-employed","Bachelor's Degree","Male",70000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,134,50,1,"Self-employed","Bachelor's Degree","Male",0,"Employed","MATH",7380,"5415",6
6,195,40,1,"Private profit","Bachelor's Degree","Female",37400,"Employed","FINANCE",7290,"5413",6
6,51,35,5,"Private profit","Master's Degree","Male",24000,"Employed","MATH",7680,"5616",6
6,115,72,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
6,210,50,1,"Self-employed","Bachelor's Degree","Male",0,"Employed","FINANCE",4795,"443142",6
6,77,54,1,"Federal government","Bachelor's Degree","Male",100000,"Employed","COMPUTER SCIENCE",9790,"928110P6",6
6,105,40,4,"Private non-profit","Master's Degree","Female",65000,"Employed/Not at work","COMPUTER SCIENCE",8180,"621M",NA
6,102,38,1,"Self-employed","Master's Degree","Male",0,"Employed/Not at work","MATH",7890,"611M3",NA
6,104,35,4,"Private profit","Master's Degree","Male",160000,"Employed","COMPUTER SCIENCE",7290,"5413",6
6,153,30,1,"Federal government","Bachelor's Degree","Female",36000,"Employed","COMPUTER SCIENCE",9480,"923",6
6,63,39,5,"Private profit","Bachelor's Degree","Male",130000,"Employed","MATH",7380,"5415",6
6,75,39,5,NA,"Bachelor's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
6,93,34,5,"Private profit","Master's Degree","Male",107000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,122,33,4,NA,"Doctorate degree","Female",0,"Not in labor force","COMPUTER SCIENCE",NA,"",NA
6,165,33,1,"Self-employed","Bachelor's Degree","Male",20000,"Employed","COMPUTER SCIENCE",7380,"5415",6
6,148,50,1,"Private non-profit","Master's Degree","Male",22500,"Employed","MATH",7870,"611M1",6
6,47,40,4,"Private non-profit","Master's Degree","Female",109000,"Employed","COMPUTER SCIENCE",6990,"524",6
6,46,39,4,"Private profit","Bachelor's Degree","Male",118000,"Employed","COMPUTER SCIENCE",3095,"3333",6
6,65,52,1,"Private profit","Master's Degree","Male",171000,"Employed","MATH",3380,"3345",6
6,67,50,1,"Private profit","Master's Degree","Female",421000,"Employed","MATH",7390,"5416",6
6,104,39,1,"Federal government","Bachelor's Degree","Male",10000,"Employed/Not at work","FINANCE",9870,"928110P7",NA
6,131,66,1,"Local government","Bachelor's Degree","Male",0,"Not in labor force","MATH",7860,"6111",NA
6,100,53,5,"Private profit","Bachelor's Degree","Male",220000,"Employed","COMPUTER SCIENCE",3390,"334M2",6
6,141,50,1,"Private profit","Master's Degree","Male",105000,"Employed","COMPUTER SCIENCE",3590,"33641M2",6
6,127,35,1,"Private profit","Bachelor's Degree","Male",75000,"Employed","STATISTICS",7380,"5415",6
6,93,56,1,"Private profit","Bachelor's Degree","Male",0,"Not in labor force","COMPUTER SCIENCE",8590,"713Z",NA
6,156,33,5,"Private profit","Bachelor's Degree","Female",0,"Not in labor force","STATISTICS",7070,"531",NA
6,52,39,1,"Private profit","Bachelor's Degree","Female",96000,"Employed","COMPUTER SCIENCE",6380,"492",6
